date,weight,delta,since the start,BMI,BMI Prime
2018-12-29,160.0,1.4,-8.0,47.8,1.9
2018-12-25,158.6,-1.4,-9.4,47.4,1.9
2018-12-22,160.0,4.0,-8.0,47.8,1.9
2018-12-08,156.0,-0.1,-12.0,46.6,1.9
2018-12-05,156.1,-0.2,-11.9,46.6,1.9
2018-12-02,156.3,-0.7,-11.7,46.7,1.9
2018-11-29,157.0,-2.0,-11.0,46.9,1.9
2018-11-25,159.0,7.0,-9.0,47.5,1.9
2018-11-15,152.0,-1.0,-16.0,45.4,1.8
2018-11-14,153.0,3.0,-15.0,45.7,1.8
2018-11-03,150.0,3.0,-18.0,44.8,1.8
2018-10-20,147.0,2.0,-21.0,43.9,1.8
2018-10-15,145.0,1.0,-23.0,43.3,1.7
2018-10-06,144.0,1.0,-24.0,43.0,1.7
2018-09-29,143.0,0.0,-25.0,42.7,1.7
2018-09-22,143.0,-1.0,-25.0,42.7,1.7
2018-09-15,144.0,-1.0,-24.0,43.0,1.7
2018-09-08,145.0,1.0,-23.0,43.3,1.7
2018-09-01,144.0,0.0,-24.0,43.0,1.7
2018-08-25,144.0,1.0,-24.0,43.0,1.7
2018-08-18,143.0,1.0,-25.0,42.7,1.7
2018-08-11,142.0,1.6,-26.0,42.4,1.7
2018-08-04,140.4,0.0,-27.6,41.9,1.7
2018-07-28,140.4,-0.6,-27.6,41.9,1.7
2018-07-26,141.0,1.0,-27.0,42.1,1.7
2018-07-21,140.0,0.3,-28.0,41.8,1.7
2018-07-14,139.7,-1.1,-28.3,41.7,1.7
2018-07-13,140.8,-0.4,-27.2,42.0,1.7
2018-07-12,141.2,-0.7,-26.8,42.2,1.7
2018-07-07,141.9,-0.1,-26.1,42.4,1.7
2018-06-30,142.0,0.1,-26.0,42.4,1.7
2018-06-27,141.9,-0.3,-26.1,42.4,1.7
2018-06-26,142.2,-0.3,-25.8,42.5,1.7
2018-06-25,142.5,-0.4,-25.5,42.6,1.7
2018-06-24,142.9,-0.1,-25.1,42.7,1.7
2018-06-23,143.0,-0.8,-25.0,42.7,1.7
2018-06-22,143.8,-0.5,-24.2,42.9,1.7
2018-06-21,144.3,-0.6,-23.7,43.1,1.7
2018-06-16,144.9,0.6,-23.1,43.3,1.7
2018-06-14,144.3,-0.3,-23.7,43.1,1.7
2018-06-10,144.6,-0.5,-23.4,43.2,1.7
2018-06-09,145.1,-0.9,-22.9,43.3,1.7
2018-06-08,146.0,-0.4,-22.0,43.6,1.7
2018-06-02,146.4,0.8,-21.6,43.7,1.7
2018-05-26,145.6,0.0,-22.4,43.5,1.7
2018-05-25,145.6,-0.5,-22.4,43.5,1.7
2018-05-24,146.1,-0.8,-21.9,43.6,1.7
2018-05-23,146.9,-0.2,-21.1,43.9,1.8
2018-05-19,147.1,-0.3,-20.9,43.9,1.8
2018-05-18,147.4,-0.8,-20.6,44.0,1.8
2018-05-17,148.2,-0.2,-19.8,44.3,1.8
2018-05-16,148.4,-0.2,-19.6,44.3,1.8
2018-05-15,148.6,-0.4,-19.4,44.4,1.8
2018-05-14,149.0,0.0,-19.0,44.5,1.8
2018-05-13,149.0,-0.1,-19.0,44.5,1.8
2018-05-12,149.1,-0.5,-18.9,44.5,1.8
2018-05-11,149.6,0.0,-18.4,44.7,1.8
2018-05-10,149.6,-0.7,-18.4,44.7,1.8
2018-05-09,150.3,-0.6,-17.7,44.9,1.8
2018-05-08,150.9,-0.4,-17.1,45.1,1.8
2018-05-07,151.3,-0.4,-16.7,45.2,1.8
2018-05-06,151.7,0.0,-16.3,45.3,1.8
2018-05-05,151.7,-0.1,-16.3,45.3,1.8
2018-05-04,151.8,-0.1,-16.2,45.3,1.8
2018-05-03,151.9,-0.3,-16.1,45.4,1.8
2018-05-02,152.2,-0.1,-15.8,45.4,1.8
2018-05-01,152.3,-0.1,-15.7,45.5,1.8
2018-04-30,152.4,-0.2,-15.6,45.5,1.8
2018-04-29,152.6,-0.6,-15.4,45.6,1.8
2018-04-28,153.2,-0.2,-14.8,45.7,1.8
2018-04-27,153.4,-0.6,-14.6,45.8,1.8
2018-04-26,154.0,-0.1,-14.0,46.0,1.8
2018-04-25,154.1,-0.4,-13.9,46.0,1.8
2018-04-24,154.5,-0.7,-13.5,46.1,1.8
2018-04-23,155.2,-0.3,-12.8,46.3,1.9
2018-04-22,155.5,-0.5,-12.5,46.4,1.9
2018-04-21,156.0,-1.0,-12.0,46.6,1.9
2018-04-20,157.0,-0.9,-11.0,46.9,1.9
2018-04-19,157.9,-1.1,-10.1,47.1,1.9
2018-04-14,159.0,0.0,-9.0,47.5,1.9
2018-04-07,159.0,0.0,-9.0,47.5,1.9
2018-03-31,159.0,1.0,-9.0,47.5,1.9
2018-03-24,158.0,0.2,-10.0,47.2,1.9
2018-03-19,157.8,1.0,-10.2,47.1,1.9
2018-03-13,156.8,-0.7,-11.2,46.8,1.9
2018-03-10,157.5,1.5,-10.5,47.0,1.9
2018-03-02,156.0,0.2,-12.0,46.6,1.9
2018-02-24,155.8,1.8,-12.2,46.5,1.9
2018-02-17,154.0,1.0,-14.0,46.0,1.8
2018-02-14,153.0,-0.8,-15.0,45.7,1.8
2018-02-12,153.8,-0.2,-14.2,45.9,1.8
2018-02-10,154.0,1.0,-14.0,46.0,1.8
2018-02-08,153.0,0.0,-15.0,45.7,1.8
2018-02-07,153.0,1.0,-15.0,45.7,1.8
2018-02-03,152.0,0.3,-16.0,45.4,1.8
2018-02-01,151.7,-0.1,-16.3,45.3,1.8
2018-01-31,151.8,0.8,-16.2,45.3,1.8
2018-01-30,151.0,0.1,-17.0,45.1,1.8
2018-01-29,150.9,1.1,-17.1,45.1,1.8
2018-01-27,149.8,1.2,-18.2,44.7,1.8
2018-01-26,148.6,0.3,-19.4,44.4,1.8
2018-01-25,148.3,0.7,-19.7,44.3,1.8
2018-01-24,147.6,-0.6,-20.4,44.1,1.8
2018-01-23,148.2,-0.4,-19.8,44.3,1.8
2018-01-22,148.6,1.1,-19.4,44.4,1.8
2018-01-20,147.5,-0.4,-20.5,44.0,1.8
2018-01-19,147.9,1.0,-20.1,44.2,1.8
2018-01-18,146.9,-0.5,-21.1,43.9,1.8
2018-01-17,147.4,-0.9,-20.6,44.0,1.8
2018-01-16,148.3,-0.4,-19.7,44.3,1.8
2018-01-15,148.7,0.2,-19.3,44.4,1.8
2018-01-13,148.5,-0.6,-19.5,44.3,1.8
2018-01-12,149.1,-0.5,-18.9,44.5,1.8
2018-01-11,149.6,0.4,-18.4,44.7,1.8
2018-01-10,149.2,-0.9,-18.8,44.6,1.8
2018-01-09,150.1,-0.3,-17.9,44.8,1.8
2018-01-08,150.4,-0.2,-17.6,44.9,1.8
2018-01-07,150.6,-0.2,-17.4,45.0,1.8
2018-01-06,150.8,-1.4,-17.2,45.0,1.8
2018-01-05,152.2,-0.7,-15.8,45.4,1.8
2018-01-04,152.9,-0.4,-15.1,45.7,1.8
2018-01-03,153.3,-0.5,-14.7,45.8,1.8
2018-01-02,153.8,-1.2,-14.2,45.9,1.8
2018-01-01,155.0,3.0,-13.0,46.3,1.9
2017-12-23,152.0,1.4,-16.0,45.4,1.8
2017-12-21,150.6,-0.1,-17.4,45.0,1.8
2017-12-16,150.7,-0.3,-17.3,45.0,1.8
2017-12-11,151.0,2.3,-17.0,45.1,1.8
2017-12-02,148.7,2.3,-19.3,44.4,1.8
2017-11-25,146.4,-2.1,-21.6,43.7,1.7
2017-11-20,148.5,-0.1,-19.5,44.3,1.8
2017-11-18,148.6,0.8,-19.4,44.4,1.8
2017-11-16,147.8,-2.3,-20.2,44.1,1.8
2017-11-12,150.1,1.9,-17.9,44.8,1.8
2017-11-04,148.2,1.9,-19.8,44.3,1.8
2017-10-28,146.3,2.1,-21.7,43.7,1.7
2017-10-21,144.2,0.1,-23.8,43.1,1.7
2017-10-14,144.1,-3.7,-23.9,43.0,1.7
2017-10-08,147.8,1.0,-20.2,44.1,1.8
2017-10-02,146.8,3.3,-21.2,43.8,1.8
2017-09-23,143.5,-0.5,-24.5,42.8,1.7
2017-09-16,144.0,3.8,-24.0,43.0,1.7
2017-09-09,140.2,0.1,-27.8,41.9,1.7
2017-09-03,140.1,-0.5,-27.9,41.8,1.7
2017-08-26,140.6,-1.4,-27.4,42.0,1.7
2017-08-19,142.0,-2.9,-26.0,42.4,1.7
2017-08-12,144.9,-0.3,-23.1,43.3,1.7
2017-08-05,145.2,0.4,-22.8,43.4,1.7
2017-07-29,144.8,-0.2,-23.2,43.2,1.7
2017-07-22,145.0,-0.1,-23.0,43.3,1.7
2017-07-15,145.1,-0.4,-22.9,43.3,1.7
2017-07-08,145.5,-2.0,-22.5,43.4,1.7
2017-07-01,147.5,-3.0,-20.5,44.0,1.8
2017-06-24,150.5,-3.5,-17.5,44.9,1.8
2017-06-17,154.0,2.4,-14.0,46.0,1.8
2017-06-10,151.6,2.4,-16.4,45.3,1.8
2017-06-03,149.2,-0.3,-18.8,44.6,1.8
2017-05-27,149.5,3.3,-18.5,44.6,1.8
2017-05-20,146.2,-1.8,-21.8,43.7,1.7
2017-05-13,148.0,2.2,-20.0,44.2,1.8
2017-05-06,145.8,1.8,-22.2,43.5,1.7
2017-04-29,144.0,-3.0,-24.0,43.0,1.7
2017-04-22,147.0,5.0,-21.0,43.9,1.8
2017-04-15,142.0,-0.2,-26.0,42.4,1.7
2017-04-08,142.2,-1.5,-25.8,42.5,1.7
2017-04-01,143.7,0.5,-24.3,42.9,1.7
2017-03-25,143.2,-0.3,-24.8,42.8,1.7
2017-03-18,143.5,0.4,-24.5,42.8,1.7
2017-03-11,143.1,-1.1,-24.9,42.7,1.7
2017-03-04,144.2,-1.7,-23.8,43.1,1.7
2017-02-25,145.9,-1.7,-22.1,43.6,1.7
2017-02-18,147.6,0.6,-20.4,44.1,1.8
2017-02-11,147.0,0.0,-21.0,43.9,1.8
2017-02-04,147.0,0.3,-21.0,43.9,1.8
2017-01-28,146.7,0.1,-21.3,43.8,1.8
2017-01-21,146.6,-1.0,-21.4,43.8,1.8
2017-01-14,147.6,-1.6,-20.4,44.1,1.8
2017-01-07,149.2,-0.7,-18.8,44.6,1.8
2016-12-31,149.9,2.9,-18.1,44.8,1.8
2016-12-24,147.0,0.1,-21.0,43.9,1.8
2016-12-17,146.9,-1.7,-21.1,43.9,1.8
2016-12-10,148.6,-0.7,-19.4,44.4,1.8
2016-12-03,149.3,-0.2,-18.7,44.6,1.8
2016-11-26,149.5,-0.4,-18.5,44.6,1.8
2016-11-19,149.9,-2.2,-18.1,44.8,1.8
2016-11-12,152.1,-0.7,-15.9,45.4,1.8
2016-11-05,152.8,-1.8,-15.2,45.6,1.8
2016-10-29,154.6,-1.2,-13.4,46.2,1.8
2016-10-22,155.8,-1.7,-12.2,46.5,1.9
2016-10-15,157.5,-1.7,-10.5,47.0,1.9
2016-10-08,159.2,-0.5,-8.8,47.5,1.9
2016-10-01,159.7,0.3,-8.3,47.7,1.9
2016-09-24,159.4,-2.2,-8.6,47.6,1.9
2016-09-17,161.6,-1.7,-6.4,48.3,1.9
2016-09-10,163.3,-4.7,-4.7,48.8,2.0
2016-09-05,168.0,,0.0,50.2,2.0
